model,brier_dS,brier_dS_ci90,brier_D,brier_D_ci90,brier_ROI,brier_ROI_ci90,log_dS,log_dS_ci90,log_D,log_D_ci90,log_ROI,log_ROI_ci90,spherical_dS,spherical_dS_ci90,spherical_D,spherical_D_ci90,spherical_ROI,spherical_ROI_ci90
Gemini 3.1 Pro (agent),5.72,5.25,6.31,1.76,12.03,5.6,3.85,4.72,7.51,2.25,11.35,5.21,1.0,3.05,2.15,1.37,3.15,3.34
Claude Opus 4.8,6.59,5.29,6.08,1.03,12.68,5.43,10.17,5.04,4.48,1.18,14.65,5.27,4.77,2.99,2.61,0.74,7.37,3.36
GPT-5.5 High (agent),-20.06,12.93,28.41,8.07,8.36,9.32,-1.89,8.43,11.74,2.28,9.86,8.14,-4.47,5.61,9.59,4.12,5.12,4.49
DeepSeek V4 Pro,-42.64,22.01,52.77,18.31,10.13,7.5,-5.91,6.08,17.54,3.8,11.64,6.17,-12.32,9.76,14.2,11.06,1.88,4.65
Grok 4.3,-90.79,26.65,83.69,23.16,-7.1,9.56,-22.55,10.67,23.63,4.23,1.08,8.33,-54.93,17.53,51.3,14.28,-3.63,7.58
Qwen 3.6 Plus,-68.95,22.62,67.45,18.44,-1.5,9.26,-20.44,9.31,23.35,5.08,2.91,7.48,-21.26,16.88,19.86,18.03,-1.4,5.12
