model,brier_dS,brier_dS_ci90,brier_D,brier_D_ci90,brier_ROI,brier_ROI_ci90,log_dS,log_dS_ci90,log_D,log_D_ci90,log_ROI,log_ROI_ci90,spherical_dS,spherical_dS_ci90,spherical_D,spherical_D_ci90,spherical_ROI,spherical_ROI_ci90
Gemini 3.1 Pro (agent),4.74,13.35,16.62,6.69,21.35,13.84,-2.84,10.85,19.39,7.5,16.54,10.95,-0.24,5.33,4.69,2.41,4.45,5.36
Claude Opus 4.8,6.92,7.26,10.5,2.16,17.42,7.05,11.73,6.56,7.26,1.58,18.98,6.61,4.78,3.69,4.09,1.39,8.88,4.14
Gemini 3.1 Pro,6.18,13.67,14.17,9.82,20.35,11.4,10.99,7.84,7.27,2.35,18.26,9.19,-0.01,2.64,-0.11,4.01,-0.13,4.74
Claude Sonnet 4.6,3.06,12.21,18.02,9.25,21.08,7.35,13.65,6.14,7.9,1.83,21.56,6.56,2.52,6.25,8.56,4.39,11.09,4.7
GPT-5.5 High (agent),3.08,9.64,17.74,4.85,20.82,8.89,9.26,7.46,10.37,1.87,19.63,7.83,2.53,4.29,6.7,2.69,9.23,4.85
