model,dS,dS_ci90,Proper,Proper_ci90,Max (Mkt),Max (Mkt)_ci90,Max (Grp),Max (Grp)_ci90,Inv-Margin,Inv-Margin_ci90,Kelly-Alike,Kelly-Alike_ci90
Gemini 3.1 Pro (agent),0.001,0.001,12.0274,5.6032,3.5719,2.0585,-0.3758,8.2869,2.7612,2.4974,3.4706,1.3215
Claude Opus 4.8,0.0006,0.0005,12.6752,5.4273,4.747,3.585,-8.287,13.2663,1.1129,1.9124,6.32,2.1571
GPT-5.5 High (agent),-0.0043,0.0027,8.357,9.3237,2.3993,2.96,12.129,24.4913,-3.236,4.787,3.3976,2.1015
DeepSeek V4 Pro,-0.0137,0.0061,10.1302,7.5008,2.8276,2.4276,0.7799,13.9902,-3.2524,3.7678,3.9691,2.4364
Grok 4.3,-0.0204,0.0061,-7.0962,9.556,2.3798,3.5557,-15.1477,11.1725,0.6458,2.543,-0.1329,3.04
Qwen 3.6 Plus,-0.0206,0.0066,-1.4988,9.2619,-1.6666,2.8812,-15.3763,13.4439,-0.9728,1.9754,0.6496,2.5324
